# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
 0.00   0.00   0.00   0.00   0.00   0.00   0.00
 0.10 5194.01   0.00   0.00   0.00   0.00   4.15
 0.20 10387.96   0.00   0.00   0.00   0.00  16.61
 0.30 15581.82   0.00   0.00   0.00   0.00  37.37
 0.40 20775.51   0.00   0.00   0.00   0.00  66.44
 0.50 25969.01   0.00   0.00   0.00   0.00 103.80
 0.60 31162.24   0.00   0.00   0.00   0.00 149.47
 0.70 36355.17   0.00   0.00   0.00   0.00 203.42
 0.80 41547.74   0.00   0.00   0.00   0.00 265.67
 0.90 46739.89   0.00   0.00   0.00   0.00 336.20
 1.00 51931.58   0.00   0.00   0.00   0.00 415.01
 1.10 57122.76   0.00   0.00   0.00   0.00 502.10
 1.20 62313.37   0.00   0.00   0.00   0.00 597.44
 1.30 67503.36   0.00   0.00   0.00   0.00 701.05
 1.40 72692.69   0.00   0.00   0.00   0.00 812.91
 1.50 77881.29   0.00   0.00   0.00   0.00 933.01
 1.60 83069.12   0.00   0.00   0.00   0.00 1061.34
 1.70 88256.13   0.00   0.00   0.00   0.00 1197.89
 1.80 93442.27   0.00   0.00   0.00   0.00 1342.66
 1.90 98627.48   0.00   0.00   0.00   0.00 1495.62
 2.00 103811.71   0.00   0.00   0.00   0.00 1656.77
 2.10 108994.91   0.00   0.00   0.00   0.00 1826.09
 2.20 114177.03   0.00   0.00   0.00   0.00 2003.58
 2.30 119358.02   0.00   0.00   0.00   0.00 2189.21
 2.40 124537.83   0.00   0.00   0.00   0.00 2382.98
 2.50 129716.41   0.00   0.00   0.00   0.00 2584.86
 2.60 134893.70   0.00   0.00   0.00   0.00 2794.84
 2.70 140069.65   0.00   0.00   0.00   0.00 3012.91
 2.80 145244.21   0.00   0.00   0.00   0.00 3239.04
 2.90 150417.34   0.00   0.00   0.00   0.00 3473.23
 3.00 155588.97   0.00   0.00   0.00   0.00 3715.44
 3.10 160759.06   0.00   0.00   0.00   0.00 3965.67
 3.20 165927.56   0.00   0.00   0.00   0.00 4223.88
 3.30 171094.42   0.00   0.00   0.00   0.00 4490.07
 3.40 176259.58   0.00   0.00   0.00   0.00 4764.21
 3.50 181422.99   0.00   0.00   0.00   0.00 5046.28
 3.60 186584.61   0.00   0.00   0.00   0.00 5336.25
 3.70 191744.38   0.00   0.00   0.00   0.00 5634.10
 3.80 196902.24   0.00   0.00   0.00   0.00 5939.82
 3.90 202058.16   0.00   0.00   0.00   0.00 6253.36
 4.00 207212.07   0.00   0.00   0.00   0.00 6574.72
 4.10 212363.93   0.00   0.00   0.00   0.00 6903.86
 4.20 217513.69   0.00   0.00   0.00   0.00 7240.76
 4.30 222661.29   0.00   0.00   0.00   0.00 7585.39
 4.40 227806.68   0.00   0.00   0.00   0.00 7937.73
 4.50 232949.82   0.00   0.00   0.00   0.00 8297.74
 4.60 238090.65   0.00   0.00   0.00   0.00 8665.40
 4.70 243229.12   0.00   0.00   0.00   0.00 9040.67
 4.80 248365.18   0.00   0.00   0.00   0.00 9423.54
 4.90 253498.78   0.00   0.00   0.00   0.00 9813.96
 5.00 258629.86   0.00   0.00   0.00   0.00 10211.90
 5.10 263758.38   0.00   0.00   0.00   0.00 10617.34
 5.20 268884.29   0.00   0.00   0.00   0.00 11030.25
 5.30 274007.54   0.00   0.00   0.00   0.00 11450.58
 5.40 279128.07   0.00   0.00   0.00   0.00 11878.31
 5.50 284245.83   0.00   0.00   0.00   0.00 12313.40
 5.60 289360.78   0.00   0.00   0.00   0.00 12755.82
 5.70 294472.86   0.00   0.00   0.00   0.00 13205.52
 5.80 299582.02   0.00   0.00   0.00   0.00 13662.49
 5.90 304688.21   0.00   0.00   0.00   0.00 14126.67
 6.00 309791.39   0.00   0.00   0.00   0.00 14598.03
 6.10 314891.49   0.00   0.00   0.00   0.00 15076.54
 6.20 319988.48   0.00   0.00   0.00   0.00 15562.15
 6.30 325082.29   0.00   0.00   0.00   0.00 16054.83
 6.40 330172.88   0.00   0.00   0.00   0.00 16554.54
 6.50 335260.20   0.00   0.00   0.00   0.00 17061.24
 6.60 340344.20   0.00   0.00   0.00   0.00 17574.88
 6.70 345424.83   0.00   0.00   0.00   0.00 18095.42
 6.80 350502.03   0.00   0.00   0.00   0.00 18622.83
 6.90 355575.76   0.00   0.00   0.00   0.00 19157.07
 7.00 360645.96   0.00   0.00   0.00   0.00 19698.08
 7.10 365712.60   0.00   0.00   0.00   0.00 20245.82
 7.20 370775.60   0.00   0.00   0.00   0.00 20800.25
 7.30 375834.94   0.00   0.00   0.00   0.00 21361.33
 7.40 380890.55   0.00   0.00   0.00   0.00 21929.02
 7.50 385942.38   0.00   0.00   0.00   0.00 22503.25
 7.60 390990.39   0.00   0.00   0.00   0.00 23084.00
 7.70 396034.53   0.00   0.00   0.00   0.00 23671.20
 7.80 401074.74   0.00   0.00   0.00   0.00 24264.83
 7.90 406110.98   0.00   0.00   0.00   0.00 24864.81
 8.00 411143.20   0.00   0.00   0.00   0.00 25471.12
 8.10 416171.34   0.00   0.00   0.00   0.00 26083.70
 8.20 421195.35   0.00   0.00   0.00   0.00 26702.49
 8.30 426215.19   0.00   0.00   0.00   0.00 27327.46
 8.40 431230.81   0.00   0.00   0.00   0.00 27958.54
 8.50 436242.16   0.00   0.00   0.00   0.00 28595.69
 8.60 441249.18   0.00   0.00   0.00   0.00 29238.86
 8.70 446251.83   0.00   0.00   0.00   0.00 29887.99
 8.80 451250.06   0.00   0.00   0.00   0.00 30543.03
 8.90 456243.82   0.00   0.00   0.00   0.00 31203.93
 9.00 461233.05   0.00   0.00   0.00   0.00 31870.63
 9.10 466217.72   0.00   0.00   0.00   0.00 32543.09
 9.20 471197.76   0.00   0.00   0.00   0.00 33221.24
 9.30 476173.14   0.00   0.00   0.00   0.00 33905.03
 9.40 481143.80   0.00   0.00   0.00   0.00 34594.40
 9.50 486109.69   0.00   0.00   0.00   0.00 35289.30
 9.60 491070.76   0.00   0.00   0.00   0.00 35989.67
 9.70 496026.97   0.00   0.00   0.00   0.00 36695.46
 9.80 500978.26   0.00   0.00   0.00   0.00 37406.60
 9.90 505924.59   0.00   0.00   0.00   0.00 38123.05
10.00 510865.90   0.00   0.00   0.00   0.00 38844.73
10.10 515802.15   0.00   0.00   0.00   0.00 39571.59
10.20 520733.29   0.00   0.00   0.00   0.00 40303.57
10.30 525659.27   0.00   0.00   0.00   0.00 41040.61
10.40 530580.05   0.00   0.00   0.00   0.00 41782.66
10.50 535495.56   0.00   0.00   0.00   0.00 42529.64
10.60 540405.77   0.00   0.00   0.00   0.00 43281.50
10.70 545310.62   0.00   0.00   0.00   0.00 44038.18
10.80 550210.07   0.00   0.00   0.00   0.00 44799.61
10.90 555104.07   0.00   0.00   0.00   0.00 45565.73
11.00 559992.56   0.00   0.00   0.00   0.00 46336.47
11.10 564875.51   0.00   0.00   0.00   0.00 47111.79
11.20 569752.86   0.00   0.00   0.00   0.00 47891.60
11.30 574624.56   0.00   0.00   0.00   0.00 48675.85
11.40 579490.57   0.00   0.00   0.00   0.00 49464.46
11.50 584350.84   0.00   0.00   0.00   0.00 50257.39
11.60 589205.32   0.00   0.00   0.00   0.00 51054.55
11.70 594053.96   0.00   0.00   0.00   0.00 51855.88
11.80 598896.71   0.00   0.00   0.00   0.00 52661.32
11.90 603733.53   0.00   0.00   0.00   0.00 53470.80
12.00 608564.36   0.00   0.00   0.00   0.00 54284.26
12.10 613389.17   0.00   0.00   0.00   0.00 55101.61
12.20 618207.90   0.00   0.00   0.00   0.00 55922.80
12.30 623020.50   0.00   0.00   0.00   0.00 56747.76
12.40 627826.92   0.00   0.00   0.00   0.00 57576.42
12.50 632627.13   0.00   0.00   0.00   0.00 58408.71
12.60 637421.07   0.00   0.00   0.00   0.00 59244.55
12.70 642208.69   0.00   0.00   0.00   0.00 60083.89
12.80 646989.94   0.00   0.00   0.00   0.00 60926.64
