# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
10.10 515802.15   0.00   0.00   0.00   0.00 15828.64
10.20 520733.29   0.00   0.00   0.00   0.00 16121.43
10.30 525659.27   0.00   0.00   0.00   0.00 16416.25
10.40 530580.05   0.00   0.00   0.00   0.00 16713.06
10.50 535495.56   0.00   0.00   0.00   0.00 17011.86
10.60 540405.77   0.00   0.00   0.00   0.00 17312.60
10.70 545310.62   0.00   0.00   0.00   0.00 17615.27
10.80 550210.07   0.00   0.00   0.00   0.00 17919.84
10.90 555104.07   0.00   0.00   0.00   0.00 18226.29
11.00 559992.56   0.00   0.00   0.00   0.00 18534.59
11.10 564875.51   0.00   0.00   0.00   0.00 18844.71
11.20 569752.86   0.00   0.00   0.00   0.00 19156.64
11.30 574624.56   0.00   0.00   0.00   0.00 19470.34
11.40 579490.57   0.00   0.00   0.00   0.00 19785.79
11.50 584350.84   0.00   0.00   0.00   0.00 20102.95
11.60 589205.32   0.00   0.00   0.00   0.00 20421.82
11.70 594053.96   0.00   0.00   0.00   0.00 20742.35
11.80 598896.71   0.00   0.00   0.00   0.00 21064.53
11.90 603733.53   0.00   0.00   0.00   0.00 21388.32
12.00 608564.36   0.00   0.00   0.00   0.00 21713.70
12.10 613389.17   0.00   0.00   0.00   0.00 22040.64
12.20 618207.90   0.00   0.00   0.00   0.00 22369.12
12.30 623020.50   0.00   0.00   0.00   0.00 22699.11
12.40 627826.92   0.00   0.00   0.00   0.00 23030.57
12.50 632627.13   0.00   0.00   0.00   0.00 23363.48
12.60 637421.07   0.00   0.00   0.00   0.00 23697.82
12.70 642208.69   0.00   0.00   0.00   0.00 24033.56
12.80 646989.94   0.00   0.00   0.00   0.00 24370.66
12.90 651764.79   0.00   0.00   0.00   0.00 24709.10
13.00 656533.18   0.00   0.00   0.00   0.00 25048.85
13.10 661295.06   0.00   0.00   0.00   0.00 25389.88
13.20 666050.39   0.00   0.00   0.00   0.00 25732.17
13.30 670799.11   0.00   0.00   0.00   0.00 26075.68
13.40 675541.20   0.00   0.00   0.00   0.00 26420.39
13.50 680276.58   0.00   0.00   0.00   0.00 26766.26
13.60 685005.23   0.00   0.00   0.00   0.00 27113.27
13.70 689727.09   0.00   0.00   0.00   0.00 27461.38
13.80 694442.11   0.00   0.00   0.00   0.00 27810.58
13.90 699150.26   0.00   0.00   0.00   0.00 28160.82
14.00 703851.47   0.00   0.00   0.00   0.00 28512.08
14.10 708545.71   0.00   0.00   0.00   0.00 28864.33
14.20 713232.93   0.00   0.00   0.00   0.00 29217.54
14.30 717913.08   0.00   0.00   0.00   0.00 29571.67
14.40 722586.12   0.00   0.00   0.00   0.00 29926.70
14.50 727251.99   0.00   0.00   0.00   0.00 30282.61
14.60 731910.67   0.00   0.00   0.00   0.00 30639.34
14.70 736562.08   0.00   0.00   0.00   0.00 30996.89
14.80 741206.20   0.00   0.00   0.00   0.00 31355.20
14.90 745842.98   0.00   0.00   0.00   0.00 31714.27
15.00 750472.36   0.00   0.00   0.00   0.00 32074.04
15.10 755094.31   0.00   0.00   0.00   0.00 32434.50
15.20 759708.77   0.00   0.00   0.00   0.00 32795.61
15.30 764315.71   0.00   0.00   0.00   0.00 33157.34
15.40 768915.07   0.00   0.00   0.00   0.00 33519.66
15.50 773506.82   0.00   0.00   0.00   0.00 33882.54
15.60 778090.90   0.00   0.00   0.00   0.00 34245.94
15.70 782667.26   0.00   0.00   0.00   0.00 34609.83
15.80 787235.88   0.00   0.00   0.00   0.00 34974.19
15.90 791796.69   0.00   0.00   0.00   0.00 35338.98
16.00 796349.65   0.00   0.00   0.00   0.00 35704.16
16.10 800894.73   0.00   0.00   0.00   0.00 36069.72
16.20 805431.87   0.00   0.00   0.00   0.00 36435.60
16.30 809961.03   0.00   0.00   0.00   0.00 36801.79
16.40 814482.16   0.00   0.00   0.00   0.00 37168.25
16.50 818995.22   0.00   0.00   0.00   0.00 37534.94
16.60 823500.16   0.00   0.00   0.00   0.00 37901.84
16.70 827996.95   0.00   0.00   0.00   0.00 38268.91
16.80 832485.53   0.00   0.00   0.00   0.00 38636.12
16.90 836965.86   0.00   0.00   0.00   0.00 39003.44
17.00 841437.90   0.00   0.00   0.00   0.00 39370.83
17.10 845901.59   0.00   0.00   0.00   0.00 39738.26
17.20 850356.91   0.00   0.00   0.00   0.00 40105.70
17.30 854803.80   0.00   0.00   0.00   0.00 40473.12
17.40 859242.22   0.00   0.00   0.00   0.00 40840.48
17.50 863672.13   0.00   0.00   0.00   0.00 41207.75
17.60 868093.47   0.00   0.00   0.00   0.00 41574.90
17.70 872506.22   0.00   0.00   0.00   0.00 41941.89
17.80 876910.32   0.00   0.00   0.00   0.00 42308.69
17.90 881305.73   0.00   0.00   0.00   0.00 42675.26
18.00 885692.41   0.00   0.00   0.00   0.00 43041.58
18.10 890070.31   0.00   0.00   0.00   0.00 43407.61
18.20 894439.39   0.00   0.00   0.00   0.00 43773.32
18.30 898799.61   0.00   0.00   0.00   0.00 44138.67
18.40 903150.92   0.00   0.00   0.00   0.00 44503.63
18.50 907493.28   0.00   0.00   0.00   0.00 44868.17
18.60 911826.65   0.00   0.00   0.00   0.00 45232.25
18.70 916150.98   0.00   0.00   0.00   0.00 45595.84
18.80 920466.24   0.00   0.00   0.00   0.00 45958.90
18.90 924772.37   0.00   0.00   0.00   0.00 46321.41
19.00 929069.34   0.00   0.00   0.00   0.00 46683.33
19.10 933357.10   0.00   0.00   0.00   0.00 47044.62
19.20 937635.62   0.00   0.00   0.00   0.00 47405.25
19.30 941904.84   0.00   0.00   0.00   0.00 47765.19
19.40 946164.73   0.00   0.00   0.00   0.00 48124.40
19.50 950415.25   0.00   0.00   0.00   0.00 48482.85
19.60 954656.35   0.00   0.00   0.00   0.00 48840.51
19.70 958887.98   0.00   0.00   0.00   0.00 49197.34
19.80 963110.12   0.00   0.00   0.00   0.00 49553.31
19.90 967322.71   0.00   0.00   0.00   0.00 49908.38
20.00 971525.72   0.00   0.00   0.00   0.00 50262.52
20.10 975719.10   0.00   0.00   0.00   0.00 50615.70
20.20 979902.81   0.00   0.00   0.00   0.00 50967.88
20.30 984076.81   0.00   0.00   0.00   0.00 51319.04
20.40 988241.06   0.00   0.00   0.00   0.00 51669.12
20.50 992395.51   0.00   0.00   0.00   0.00 52018.11
20.60 996540.13   0.00   0.00   0.00   0.00 52365.97
20.70 1000674.88   0.00   0.00   0.00   0.00 52712.66
20.80 1004799.71   0.00   0.00   0.00   0.00 53058.15
20.90 1008914.59   0.00   0.00   0.00   0.00 53402.41
21.00 1013019.47   0.00   0.00   0.00   0.00 53745.40
21.10 1017114.31   0.00   0.00   0.00   0.00 54087.09
21.20 1021199.07   0.00   0.00   0.00   0.00 54427.44
21.30 1025273.71   0.00   0.00   0.00   0.00 54766.43
21.40 1029338.19   0.00   0.00   0.00   0.00 55104.01
21.50 1033392.47   0.00   0.00   0.00   0.00 55440.16
21.60 1037436.51   0.00   0.00   0.00   0.00 55774.83
21.70 1041470.27   0.00   0.00   0.00   0.00 56108.01
21.80 1045493.72   0.00   0.00   0.00   0.00 56439.64
21.90 1049506.80   0.00   0.00   0.00   0.00 56769.71
22.00 1053509.48   0.00   0.00   0.00   0.00 57098.17
22.10 1057501.72   0.00   0.00   0.00   0.00 57425.00
22.20 1061483.48   0.00   0.00   0.00   0.00 57750.15
22.30 1065454.73   0.00   0.00   0.00   0.00 58073.60
22.40 1069415.42   0.00   0.00   0.00   0.00 58395.32
22.50 1073365.51   0.00   0.00   0.00   0.00 58715.26
22.60 1077304.96   0.00   0.00   0.00   0.00 59033.40
22.70 1081233.74   0.00   0.00   0.00   0.00 59349.70
22.80 1085151.80   0.00   0.00   0.00   0.00 59664.13
22.90 1089059.11   0.00   0.00   0.00   0.00 59976.66
23.00 1092955.63   0.00   0.00   0.00   0.00 60287.25
23.10 1096841.32   0.00   0.00   0.00   0.00 60595.87
23.20 1100716.14   0.00   0.00   0.00   0.00 60902.49
23.30 1104580.06   0.00   0.00   0.00   0.00 61207.08
23.40 1108433.03   0.00   0.00   0.00   0.00 61509.59
23.50 1112275.01   0.00   0.00   0.00   0.00 61810.01
23.60 1116105.97   0.00   0.00   0.00   0.00 62108.29
23.70 1119925.87   0.00   0.00   0.00   0.00 62404.41
23.80 1123734.68   0.00   0.00   0.00   0.00 62698.33
23.90 1127532.35   0.00   0.00   0.00   0.00 62990.02
24.00 1131318.85   0.00   0.00   0.00   0.00 63279.44
24.10 1135094.13   0.00   0.00   0.00   0.00 63566.58
24.20 1138858.17   0.00   0.00   0.00   0.00 63851.38
24.30 1142610.93   0.00   0.00   0.00   0.00 64133.82
24.40 1146352.36   0.00   0.00   0.00   0.00 64413.88
24.50 1150082.43   0.00   0.00   0.00   0.00 64691.51
24.60 1153801.10   0.00   0.00   0.00   0.00 64966.68
24.70 1157508.35   0.00   0.00   0.00   0.00 65239.37
24.80 1161204.12   0.00   0.00   0.00   0.00 65509.54
24.90 1164888.38   0.00   0.00   0.00   0.00 65777.16
25.00 1168561.10   0.00   0.00   0.00   0.00 66042.19
25.10 1172222.25   0.00   0.00   0.00   0.00 66304.62
25.20 1175871.77   0.00   0.00   0.00   0.00 66564.40
25.30 1179509.65   0.00   0.00   0.00   0.00 66821.51
25.40 1183135.84   0.00   0.00   0.00   0.00 67075.91
25.50 1186750.30   0.00   0.00   0.00   0.00 67327.57
25.60 1190353.00   0.00   0.00   0.00   0.00 67576.47
25.70 1193943.91   0.00   0.00   0.00   0.00 67822.57
25.80 1197522.99   0.00   0.00   0.00   0.00 68065.84
25.90 1201090.20   0.00   0.00   0.00   0.00 68306.25
26.00 1204645.51   0.00   0.00   0.00   0.00 68543.77
26.10 1208188.88   0.00   0.00   0.00   0.00 68778.37
26.20 1211720.28   0.00   0.00   0.00   0.00 69010.02
26.30 1215239.67   0.00   0.00   0.00   0.00 69238.69
26.40 1218747.02   0.00   0.00   0.00   0.00 69464.35
26.50 1222242.30   0.00   0.00   0.00   0.00 69686.97
26.60 1225725.46   0.00   0.00   0.00   0.00 69906.53
26.70 1229196.47   0.00   0.00   0.00   0.00 70122.98
26.80 1232655.31   0.00   0.00   0.00   0.00 70336.31
26.90 1236101.93   0.00   0.00   0.00   0.00 70546.48
27.00 1239536.30   0.00   0.00   0.00   0.00 70753.47
27.10 1242958.39   0.00   0.00   0.00   0.00 70957.24
27.20 1246368.16   0.00   0.00   0.00   0.00 71157.77
27.30 1249765.59   0.00   0.00   0.00   0.00 71355.03
27.40 1253150.63   0.00   0.00   0.00   0.00 71548.99
27.50 1256523.25   0.00   0.00   0.00   0.00 71739.62
27.60 1259883.42   0.00   0.00   0.00   0.00 71926.89
27.70 1263231.10   0.00   0.00   0.00   0.00 72110.78
27.80 1266566.27   0.00   0.00   0.00   0.00 72291.25
27.90 1269888.88   0.00   0.00   0.00   0.00 72468.29
28.00 1273198.92   0.00   0.00   0.00   0.00 72641.86
28.10 1276496.33   0.00   0.00   0.00   0.00 72811.93
28.20 1279781.10   0.00   0.00   0.00   0.00 72978.49
28.30 1283053.19   0.00   0.00   0.00   0.00 73141.49
28.40 1286312.56   0.00   0.00   0.00   0.00 73300.92
28.50 1289559.18   0.00   0.00   0.00   0.00 73456.74
28.60 1292793.03   0.00   0.00   0.00   0.00 73608.94
28.70 1296014.07   0.00   0.00   0.00   0.00 73757.48
28.80 1299222.26   0.00   0.00   0.00   0.00 73902.35
28.90 1302417.58   0.00   0.00   0.00   0.00 74043.50
29.00 1305600.00   0.00   0.00   0.00   0.00 74180.92
29.10 1308769.47   0.00   0.00   0.00   0.00 74314.59
29.20 1311925.98   0.00   0.00   0.00   0.00 74444.47
29.30 1315069.49   0.00   0.00   0.00   0.00 74570.54
29.40 1318199.97   0.00   0.00   0.00   0.00 74692.77
29.50 1321317.38   0.00   0.00   0.00   0.00 74811.15
29.60 1324421.70   0.00   0.00   0.00   0.00 74925.64
29.70 1327512.90   0.00   0.00   0.00   0.00 75036.23
29.80 1330590.94   0.00   0.00   0.00   0.00 75142.88
29.90 1333655.80   0.00   0.00   0.00   0.00 75245.58
30.00 1336707.44   0.00   0.00   0.00   0.00 75344.30
30.10 1339745.83   0.00   0.00   0.00   0.00 75439.01
30.20 1342770.95   0.00   0.00   0.00   0.00 75529.69
30.30 1345782.77   0.00   0.00   0.00   0.00 75616.33
30.40 1348781.25   0.00   0.00   0.00   0.00 75698.89
30.50 1351766.36   0.00   0.00   0.00   0.00 75777.35
30.60 1354738.08   0.00   0.00   0.00   0.00 75851.69
30.70 1357696.37   0.00   0.00   0.00   0.00 75921.89
30.80 1360641.22   0.00   0.00   0.00   0.00 75987.93
30.90 1363572.57   0.00   0.00   0.00   0.00 76049.78
31.00 1366490.42   0.00   0.00   0.00   0.00 76107.42
31.10 1369394.72   0.00   0.00   0.00   0.00 76160.84
31.20 1372285.46   0.00   0.00   0.00   0.00 76210.00
31.30 1375162.60   0.00   0.00   0.00   0.00 76254.89
31.40 1378026.11   0.00   0.00   0.00   0.00 76295.48
31.50 1380875.96   0.00   0.00   0.00   0.00 76331.76
31.60 1383712.13   0.00   0.00   0.00   0.00 76363.71
31.70 1386534.59   0.00   0.00   0.00   0.00 76391.30
31.80 1389343.32   0.00   0.00   0.00   0.00 76414.52
31.90 1392138.27   0.00   0.00   0.00   0.00 76433.34
32.00 1394919.43   0.00   0.00   0.00   0.00 76447.75
32.10 1397686.76   0.00   0.00   0.00   0.00 76457.72
32.20 1400440.25   0.00   0.00   0.00   0.00 76463.24
32.30 1403179.86   0.00   0.00   0.00   0.00 76464.29
32.40 1405905.56   0.00   0.00   0.00   0.00 76460.85
32.50 1408617.34   0.00   0.00   0.00   0.00 76452.90
32.60 1411315.15   0.00   0.00   0.00   0.00 76440.42
32.70 1413998.98   0.00   0.00   0.00   0.00 76423.40
32.80 1416668.80   0.00   0.00   0.00   0.00 76401.81
32.90 1419324.58   0.00   0.00   0.00   0.00 76375.65
33.00 1421966.30   0.00   0.00   0.00   0.00 76344.88
33.10 1424593.92   0.00   0.00   0.00   0.00 76309.50
33.20 1427207.43   0.00   0.00   0.00   0.00 76269.49
33.30 1429806.80   0.00   0.00   0.00   0.00 76224.83
33.40 1432392.00   0.00   0.00   0.00   0.00 76175.51
33.50 1434963.00   0.00   0.00   0.00   0.00 76121.51
33.60 1437519.79   0.00   0.00   0.00   0.00 76062.81
33.70 1440062.33   0.00   0.00   0.00   0.00 75999.40
33.80 1442590.60   0.00   0.00   0.00   0.00 75931.26
33.90 1445104.57   0.00   0.00   0.00   0.00 75858.38
34.00 1447604.23   0.00   0.00   0.00   0.00 75780.74
34.10 1450089.54   0.00   0.00   0.00   0.00 75698.34
34.20 1452560.48   0.00   0.00   0.00   0.00 75611.14
34.30 1455017.03   0.00   0.00   0.00   0.00 75519.15
34.40 1457459.16   0.00   0.00   0.00   0.00 75422.35
34.50 1459886.85   0.00   0.00   0.00   0.00 75320.72
34.60 1462300.07   0.00   0.00   0.00   0.00 75214.25
34.70 1464698.80   0.00   0.00   0.00   0.00 75102.92
34.80 1467083.02   0.00   0.00   0.00   0.00 74986.74
34.90 1469452.70   0.00   0.00   0.00   0.00 74865.67
35.00 1471807.82   0.00   0.00   0.00   0.00 74739.72
35.10 1474148.35   0.00   0.00   0.00   0.00 74608.86
35.20 1476474.28   0.00   0.00   0.00   0.00 74473.09
35.30 1478785.58   0.00   0.00   0.00   0.00 74332.40
35.40 1481082.22   0.00   0.00   0.00   0.00 74186.77
35.50 1483364.18   0.00   0.00   0.00   0.00 74036.20
35.60 1485631.45   0.00   0.00   0.00   0.00 73880.67
35.70 1487884.00   0.00   0.00   0.00   0.00 73720.17
35.80 1490121.80   0.00   0.00   0.00   0.00 73554.70
35.90 1492344.84   0.00   0.00   0.00   0.00 73384.24
36.00 1494553.08   0.00   0.00   0.00   0.00 73208.79
36.10 1496746.52   0.00   0.00   0.00   0.00 73028.33
36.20 1498925.13   0.00   0.00   0.00   0.00 72842.86
36.30 1501088.88   0.00   0.00   0.00   0.00 72652.36
36.40 1503237.76   0.00   0.00   0.00   0.00 72456.84
36.50 1505371.75   0.00   0.00   0.00   0.00 72256.28
36.60 1507490.81   0.00   0.00   0.00   0.00 72050.67
36.70 1509594.94   0.00   0.00   0.00   0.00 71840.01
36.80 1511684.11   0.00   0.00   0.00   0.00 71624.29
36.90 1513758.30   0.00   0.00   0.00   0.00 71403.51
37.00 1515817.49   0.00   0.00   0.00   0.00 71177.65
37.10 1517861.66   0.00   0.00   0.00   0.00 70946.71
37.20 1519890.79   0.00   0.00   0.00   0.00 70710.68
37.30 1521904.85   0.00   0.00   0.00   0.00 70469.57
37.40 1523903.84   0.00   0.00   0.00   0.00 70223.36
37.50 1525887.73   0.00   0.00   0.00   0.00 69972.05
37.60 1527856.49   0.00   0.00   0.00   0.00 69715.63
37.70 1529810.12   0.00   0.00   0.00   0.00 69454.10
37.80 1531748.58   0.00   0.00   0.00   0.00 69187.46
37.90 1533671.87   0.00   0.00   0.00   0.00 68915.69
38.00 1535579.96   0.00   0.00   0.00   0.00 68638.81
38.10 1537472.84   0.00   0.00   0.00   0.00 68356.80
38.20 1539350.48   0.00   0.00   0.00   0.00 68069.66
38.30 1541212.86   0.00   0.00   0.00   0.00 67777.40
38.40 1543059.98   0.00   0.00   0.00   0.00 67480.00
38.50 1544891.80   0.00   0.00   0.00   0.00 67177.46
38.60 1546708.31   0.00   0.00   0.00   0.00 66869.79
38.70 1548509.50   0.00   0.00   0.00   0.00 66556.97
38.80 1550295.35   0.00   0.00   0.00   0.00 66239.02
38.90 1552065.83   0.00   0.00   0.00   0.00 65915.93
39.00 1553820.93   0.00   0.00   0.00   0.00 65587.70
39.10 1555560.63   0.00   0.00   0.00   0.00 65254.33
39.20 1557284.92   0.00   0.00   0.00   0.00 64915.81
39.30 1558993.78   0.00   0.00   0.00   0.00 64572.16
39.40 1560687.19   0.00   0.00   0.00   0.00 64223.36
39.50 1562365.14   0.00   0.00   0.00   0.00 63869.43
39.60 1564027.60   0.00   0.00   0.00   0.00 63510.35
39.70 1565674.56   0.00   0.00   0.00   0.00 63146.14
39.80 1567306.01   0.00   0.00   0.00   0.00 62776.80
39.90 1568921.93   0.00   0.00   0.00   0.00 62402.33
40.00 1570522.31   0.00   0.00   0.00   0.00 62022.72
40.10 1572107.12   0.00   0.00   0.00   0.00 61637.99
40.20 1573676.35   0.00   0.00   0.00   0.00 61248.14
40.30 1575229.99   0.00   0.00   0.00   0.00 60853.16
40.40 1576768.01   0.00   0.00   0.00   0.00 60453.07
40.50 1578290.42   0.00   0.00   0.00   0.00 60047.87
40.60 1579797.18   0.00   0.00   0.00   0.00 59637.56
40.70 1581288.29   0.00   0.00   0.00   0.00 59222.14
40.80 1582763.73   0.00   0.00   0.00   0.00 58801.63
40.90 1584223.49   0.00   0.00   0.00   0.00 58376.03
41.00 1585667.55   0.00   0.00   0.00   0.00 57945.34
41.10 1587095.90   0.00   0.00   0.00   0.00 57509.56
41.20 1588508.52   0.00   0.00   0.00   0.00 57068.71
41.30 1589905.39   0.00   0.00   0.00   0.00 56622.80
41.40 1591286.52   0.00   0.00   0.00   0.00 56171.82
41.50 1592651.87   0.00   0.00   0.00   0.00 55715.79
41.60 1594001.45   0.00   0.00   0.00   0.00 55254.71
41.70 1595335.22   0.00   0.00   0.00   0.00 54788.59
41.80 1596653.19   0.00   0.00   0.00   0.00 54317.44
41.90 1597955.34   0.00   0.00   0.00   0.00 53841.27
42.00 1599241.65   0.00   0.00   0.00   0.00 53360.08
42.10 1600512.12   0.00   0.00   0.00   0.00 52873.89
42.20 1601766.73   0.00   0.00   0.00   0.00 52382.70
42.30 1603005.46   0.00   0.00   0.00   0.00 51886.53
42.40 1604228.31   0.00   0.00   0.00   0.00 51385.39
42.50 1605435.27   0.00   0.00   0.00   0.00 50879.27
42.60 1606626.31   0.00   0.00   0.00   0.00 50368.21
42.70 1607801.43   0.00   0.00   0.00   0.00 49852.20
42.80 1608960.63   0.00   0.00   0.00   0.00 49331.25
42.90 1610103.88   0.00   0.00   0.00   0.00 48805.39
43.00 1611231.17   0.00   0.00   0.00   0.00 48274.62
43.10 1612342.50   0.00   0.00   0.00   0.00 47738.95
43.20 1613437.85   0.00   0.00   0.00   0.00 47198.39
43.30 1614517.21   0.00   0.00   0.00   0.00 46652.97
43.40 1615580.58   0.00   0.00   0.00   0.00 46102.68
43.50 1616627.93   0.00   0.00   0.00   0.00 45547.56
43.60 1617659.27   0.00   0.00   0.00   0.00 44987.60
43.70 1618674.57   0.00   0.00   0.00   0.00 44422.82
43.80 1619673.84   0.00   0.00   0.00   0.00 43853.24
43.90 1620657.06   0.00   0.00   0.00   0.00 43278.87
44.00 1621624.21   0.00   0.00   0.00   0.00 42699.73
44.10 1622575.30   0.00   0.00   0.00   0.00 42115.83
44.20 1623510.31   0.00   0.00   0.00   0.00 41527.19
44.30 1624429.23   0.00   0.00   0.00   0.00 40933.83
44.40 1625332.06   0.00   0.00   0.00   0.00 40335.75
44.50 1626218.78   0.00   0.00   0.00   0.00 39732.98
44.60 1627089.39   0.00   0.00   0.00   0.00 39125.54
44.70 1627943.87   0.00   0.00   0.00   0.00 38513.43
44.80 1628782.22   0.00   0.00   0.00   0.00 37896.68
44.90 1629604.43   0.00   0.00   0.00   0.00 37275.31
