# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
 0.00   0.00   0.00   0.00   0.00   0.00   0.00
 0.10   0.00   0.00   0.00   0.00   0.00  16.61
 0.20   0.00   0.00   0.00   0.00   0.00  66.44
 0.30   0.00   0.00   0.00   0.00   0.00 149.49
 0.40   0.00   0.00   0.00   0.00   0.00 265.75
 0.50   0.00   0.00   0.00   0.00   0.00 415.21
 0.60   0.00   0.00   0.00   0.00   0.00 597.85
 0.70   0.00   0.00   0.00   0.00   0.00 813.68
 0.80   0.00   0.00   0.00   0.00   0.00 1062.66
 0.90   0.00   0.00   0.00   0.00   0.00 1344.77
 1.00   0.00   0.00   0.00   0.00   0.00 1660.00
 1.10   0.00   0.00   0.00   0.00   0.00 2008.33
 1.20   0.00   0.00   0.00   0.00   0.00 2389.71
 1.30   0.00   0.00   0.00   0.00   0.00 2804.13
 1.40   0.00   0.00   0.00   0.00   0.00 3251.55
 1.50   0.00   0.00   0.00   0.00   0.00 3731.93
 1.60   0.00   0.00   0.00   0.00   0.00 4245.24
 1.70   0.00   0.00   0.00   0.00   0.00 4791.44
 1.80   0.00   0.00   0.00   0.00   0.00 5370.48
 1.90   0.00   0.00   0.00   0.00   0.00 5982.31
 2.00   0.00   0.00   0.00   0.00   0.00 6626.89
 2.10   0.00   0.00   0.00   0.00   0.00 7304.17
 2.20   0.00   0.00   0.00   0.00   0.00 8014.10
 2.30   0.00   0.00   0.00   0.00   0.00 8756.61
 2.40   0.00   0.00   0.00   0.00   0.00 9531.65
 2.50   0.00   0.00   0.00   0.00   0.00 10339.15
 2.60   0.00   0.00   0.00   0.00   0.00 11179.06
 2.70   0.00   0.00   0.00   0.00   0.00 12051.31
 2.80   0.00   0.00   0.00   0.00   0.00 12955.82
 2.90   0.00   0.00   0.00   0.00   0.00 13892.53
 3.00   0.00   0.00   0.00   0.00   0.00 14861.36
 3.10   0.00   0.00   0.00   0.00   0.00 15862.24
 3.20   0.00   0.00   0.00   0.00   0.00 16895.08
 3.30   0.00   0.00   0.00   0.00   0.00 17959.80
