# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
10.00 510865.90   0.00   0.00   0.00   0.00 77689.45
10.10 515802.15   0.00   0.00   0.00   0.00 79143.18
10.20 520733.29   0.00   0.00   0.00   0.00 80607.14
10.30 525659.27   0.00   0.00   0.00   0.00 82081.23
10.40 530580.05   0.00   0.00   0.00   0.00 83565.31
10.50 535495.56   0.00   0.00   0.00   0.00 85059.28
10.60 540405.77   0.00   0.00   0.00   0.00 86563.00
10.70 545310.62   0.00   0.00   0.00   0.00 88076.35
10.80 550210.07   0.00   0.00   0.00   0.00 89599.21
10.90 555104.07   0.00   0.00   0.00   0.00 91131.45
11.00 559992.56   0.00   0.00   0.00   0.00 92672.95
11.10 564875.51   0.00   0.00   0.00   0.00 94223.57
11.20 569752.86   0.00   0.00   0.00   0.00 95783.20
11.30 574624.56   0.00   0.00   0.00   0.00 97351.69
11.40 579490.57   0.00   0.00   0.00   0.00 98928.93
11.50 584350.84   0.00   0.00   0.00   0.00 100514.77
11.60 589205.32   0.00   0.00   0.00   0.00 102109.09
11.70 594053.96   0.00   0.00   0.00   0.00 103711.76
11.80 598896.71   0.00   0.00   0.00   0.00 105322.65
11.90 603733.53   0.00   0.00   0.00   0.00 106941.61
12.00 608564.36   0.00   0.00   0.00   0.00 108568.51
12.10 613389.17   0.00   0.00   0.00   0.00 110203.22
12.20 618207.90   0.00   0.00   0.00   0.00 111845.61
12.30 623020.50   0.00   0.00   0.00   0.00 113495.53
12.40 627826.92   0.00   0.00   0.00   0.00 115152.84
12.50 632627.13   0.00   0.00   0.00   0.00 116817.42
12.60 637421.07   0.00   0.00   0.00   0.00 118489.11
12.70 642208.69   0.00   0.00   0.00   0.00 120167.78
12.80 646989.94   0.00   0.00   0.00   0.00 121853.29
12.90 651764.79   0.00   0.00   0.00   0.00 123545.49
13.00 656533.18   0.00   0.00   0.00   0.00 125244.25
13.10 661295.06   0.00   0.00   0.00   0.00 126949.41
13.20 666050.39   0.00   0.00   0.00   0.00 128660.84
13.30 670799.11   0.00   0.00   0.00   0.00 130378.40
13.40 675541.20   0.00   0.00   0.00   0.00 132101.93
13.50 680276.58   0.00   0.00   0.00   0.00 133831.29
13.60 685005.23   0.00   0.00   0.00   0.00 135566.33
13.70 689727.09   0.00   0.00   0.00   0.00 137306.92
13.80 694442.11   0.00   0.00   0.00   0.00 139052.89
13.90 699150.26   0.00   0.00   0.00   0.00 140804.10
14.00 703851.47   0.00   0.00   0.00   0.00 142560.40
14.10 708545.71   0.00   0.00   0.00   0.00 144321.65
14.20 713232.93   0.00   0.00   0.00   0.00 146087.68
14.30 717913.08   0.00   0.00   0.00   0.00 147858.36
14.40 722586.12   0.00   0.00   0.00   0.00 149633.52
14.50 727251.99   0.00   0.00   0.00   0.00 151413.03
14.60 731910.67   0.00   0.00   0.00   0.00 153196.71
14.70 736562.08   0.00   0.00   0.00   0.00 154984.43
14.80 741206.20   0.00   0.00   0.00   0.00 156776.02
14.90 745842.98   0.00   0.00   0.00   0.00 158571.34
15.00 750472.36   0.00   0.00   0.00   0.00 160370.22
15.10 755094.31   0.00   0.00   0.00   0.00 162172.51
15.20 759708.77   0.00   0.00   0.00   0.00 163978.07
15.30 764315.71   0.00   0.00   0.00   0.00 165786.72
15.40 768915.07   0.00   0.00   0.00   0.00 167598.31
15.50 773506.82   0.00   0.00   0.00   0.00 169412.69
15.60 778090.90   0.00   0.00   0.00   0.00 171229.70
15.70 782667.26   0.00   0.00   0.00   0.00 173049.17
15.80 787235.88   0.00   0.00   0.00   0.00 174870.96
15.90 791796.69   0.00   0.00   0.00   0.00 176694.89
16.00 796349.65   0.00   0.00   0.00   0.00 178520.82
16.10 800894.73   0.00   0.00   0.00   0.00 180348.58
16.20 805431.87   0.00   0.00   0.00   0.00 182178.01
16.30 809961.03   0.00   0.00   0.00   0.00 184008.94
16.40 814482.16   0.00   0.00   0.00   0.00 185841.23
16.50 818995.22   0.00   0.00   0.00   0.00 187674.70
16.60 823500.16   0.00   0.00   0.00   0.00 189509.19
16.70 827996.95   0.00   0.00   0.00   0.00 191344.55
16.80 832485.53   0.00   0.00   0.00   0.00 193180.60
16.90 836965.86   0.00   0.00   0.00   0.00 195017.19
17.00 841437.90   0.00   0.00   0.00   0.00 196854.15
17.10 845901.59   0.00   0.00   0.00   0.00 198691.31
17.20 850356.91   0.00   0.00   0.00   0.00 200528.52
17.30 854803.80   0.00   0.00   0.00   0.00 202365.61
17.40 859242.22   0.00   0.00   0.00   0.00 204202.41
17.50 863672.13   0.00   0.00   0.00   0.00 206038.76
17.60 868093.47   0.00   0.00   0.00   0.00 207874.49
17.70 872506.22   0.00   0.00   0.00   0.00 209709.43
17.80 876910.32   0.00   0.00   0.00   0.00 211543.43
17.90 881305.73   0.00   0.00   0.00   0.00 213376.32
18.00 885692.41   0.00   0.00   0.00   0.00 215207.92
18.10 890070.31   0.00   0.00   0.00   0.00 217038.07
18.20 894439.39   0.00   0.00   0.00   0.00 218866.61
18.30 898799.61   0.00   0.00   0.00   0.00 220693.36
18.40 903150.92   0.00   0.00   0.00   0.00 222518.16
18.50 907493.28   0.00   0.00   0.00   0.00 224340.85
18.60 911826.65   0.00   0.00   0.00   0.00 226161.25
18.70 916150.98   0.00   0.00   0.00   0.00 227979.19
18.80 920466.24   0.00   0.00   0.00   0.00 229794.52
18.90 924772.37   0.00   0.00   0.00   0.00 231607.06
19.00 929069.34   0.00   0.00   0.00   0.00 233416.63
19.10 933357.10   0.00   0.00   0.00   0.00 235223.08
19.20 937635.62   0.00   0.00   0.00   0.00 237026.24
19.30 941904.84   0.00   0.00   0.00   0.00 238825.93
19.40 946164.73   0.00   0.00   0.00   0.00 240621.99
19.50 950415.25   0.00   0.00   0.00   0.00 242414.25
19.60 954656.35   0.00   0.00   0.00   0.00 244202.54
19.70 958887.98   0.00   0.00   0.00   0.00 245986.69
19.80 963110.12   0.00   0.00   0.00   0.00 247766.53
19.90 967322.71   0.00   0.00   0.00   0.00 249541.89
20.00 971525.72   0.00   0.00   0.00   0.00 251312.61
20.10 975719.10   0.00   0.00   0.00   0.00 253078.51
20.20 979902.81   0.00   0.00   0.00   0.00 254839.42
20.30 984076.81   0.00   0.00   0.00   0.00 256595.18
20.40 988241.06   0.00   0.00   0.00   0.00 258345.62
20.50 992395.51   0.00   0.00   0.00   0.00 260090.57
20.60 996540.13   0.00   0.00   0.00   0.00 261829.85
20.70 1000674.88   0.00   0.00   0.00   0.00 263563.31
20.80 1004799.71   0.00   0.00   0.00   0.00 265290.76
20.90 1008914.59   0.00   0.00   0.00   0.00 267012.05
21.00 1013019.47   0.00   0.00   0.00   0.00 268727.00
21.10 1017114.31   0.00   0.00   0.00   0.00 270435.44
21.20 1021199.07   0.00   0.00   0.00   0.00 272137.21
21.30 1025273.71   0.00   0.00   0.00   0.00 273832.13
