# This is an input file for the tower top force time-series in the TMD module of ServoDyn
# Time, Fx, Fy, Fz, Mx, My, Mz
# (s) (N) (N) (N) (N-m) (N-m) (N-m)
 0.00   0.00   0.00   0.00   0.00   0.00   0.00
 0.10   0.00   0.00   0.00   0.00   0.00  20.76
 0.20   0.00   0.00   0.00   0.00   0.00  83.05
 0.30   0.00   0.00   0.00   0.00   0.00 186.85
 0.40   0.00   0.00   0.00   0.00   0.00 332.16
 0.50   0.00   0.00   0.00   0.00   0.00 518.95
 0.60   0.00   0.00   0.00   0.00   0.00 747.21
 0.70   0.00   0.00   0.00   0.00   0.00 1016.90
 0.80   0.00   0.00   0.00   0.00   0.00 1327.99
 0.90   0.00   0.00   0.00   0.00   0.00 1680.44
 1.00   0.00   0.00   0.00   0.00   0.00 2074.22
 1.10   0.00   0.00   0.00   0.00   0.00 2509.26
 1.20   0.00   0.00   0.00   0.00   0.00 2985.52
 1.30   0.00   0.00   0.00   0.00   0.00 3502.94
 1.40   0.00   0.00   0.00   0.00   0.00 4061.45
 1.50   0.00   0.00   0.00   0.00   0.00 4660.98
 1.60   0.00   0.00   0.00   0.00   0.00 5301.47
 1.70   0.00   0.00   0.00   0.00   0.00 5982.83
 1.80   0.00   0.00   0.00   0.00   0.00 6704.97
 1.90   0.00   0.00   0.00   0.00   0.00 7467.82
 2.00   0.00   0.00   0.00   0.00   0.00 8271.26
 2.10   0.00   0.00   0.00   0.00   0.00 9115.21
 2.20   0.00   0.00   0.00   0.00   0.00 9999.56
 2.30   0.00   0.00   0.00   0.00   0.00 10924.20
 2.40   0.00   0.00   0.00   0.00   0.00 11889.01
 2.50   0.00   0.00   0.00   0.00   0.00 12893.89
 2.60   0.00   0.00   0.00   0.00   0.00 13938.69
 2.70   0.00   0.00   0.00   0.00   0.00 15023.29
 2.80   0.00   0.00   0.00   0.00   0.00 16147.56
 2.90   0.00   0.00   0.00   0.00   0.00 17311.36
 3.00   0.00   0.00   0.00   0.00   0.00 18514.55
 3.10   0.00   0.00   0.00   0.00   0.00 19756.97
 3.20   0.00   0.00   0.00   0.00   0.00 21038.46
 3.30   0.00   0.00   0.00   0.00   0.00 22358.88
 3.40   0.00   0.00   0.00   0.00   0.00 23718.06
 3.50   0.00   0.00   0.00   0.00   0.00 25115.83
 3.60   0.00   0.00   0.00   0.00   0.00 26552.01
 3.70   0.00   0.00   0.00   0.00   0.00 28026.42
 3.80   0.00   0.00   0.00   0.00   0.00 29538.89
 3.90   0.00   0.00   0.00   0.00   0.00 31089.22
 4.00   0.00   0.00   0.00   0.00   0.00 32677.23
 4.10   0.00   0.00   0.00   0.00   0.00 34302.71
 4.20   0.00   0.00   0.00   0.00   0.00 35965.45
 4.30   0.00   0.00   0.00   0.00   0.00 37665.27
 4.40   0.00   0.00   0.00   0.00   0.00 39401.93
 4.50   0.00   0.00   0.00   0.00   0.00 41175.23
