#   This    is  an  input   file    for the tower   top force   time-series in  the TMD module  of  ServoDyn
#                                                                   
#   it  has an  arbitrary   number  of  header  lines   denoted with    #!% characters                  
!   Another comment line                                                        
#                                                                   
#   Time,   Fx, Fy, Fz, Mx, My, Mz                                      
#   (s) (N) (N) (N) (N-m)   (N-m)   (N-m)                                       
0.0 0.0 0.0 0.0 0.0 0.0 0.0
209.2   1650000.0   0.0 0.0 0.0 0.0 -8143614.7
209.3   1650000.0   0.0 0.0 0.0 0.0 -8119263.7
209.4   1650000.0   0.0 0.0 0.0 0.0 -8077205.8
209.5   1650000.0   0.0 0.0 0.0 0.0 -8017553.3
209.6   1650000.0   0.0 0.0 0.0 0.0 -7959841.5
209.7   1650000.0   0.0 0.0 0.0 0.0 -7908254.8
209.8   1650000.0   0.0 0.0 0.0 0.0 -7859189.1
209.9   1650000.0   0.0 0.0 0.0 0.0 -7631172.0
210.0   1650000.0   0.0 0.0 0.0 0.0 -7620025.3
210.1   1650000.0   0.0 0.0 0.0 0.0 -7721180.3
210.2   1650000.0   0.0 0.0 0.0 0.0 -7529523.4
210.3   1650000.0   0.0 0.0 0.0 0.0 -7343746.6
210.4   1650000.0   0.0 0.0 0.0 0.0 -7478612.1
210.5   1650000.0   0.0 0.0 0.0 0.0 -7450767.9
210.6   1650000.0   0.0 0.0 0.0 0.0 -7332778.4
210.7   1650000.0   0.0 0.0 0.0 0.0 -7495647.5
210.8   1650000.0   0.0 0.0 0.0 0.0 -7453364.3
210.9   1650000.0   0.0 0.0 0.0 0.0 -7300293.2
211.0   1650000.0   0.0 0.0 0.0 0.0 -7254173.8
211.1   1650000.0   0.0 0.0 0.0 0.0 -7233324.0
211.2   1650000.0   0.0 0.0 0.0 0.0 -7220124.8
211.3   1650000.0   0.0 0.0 0.0 0.0 -7008261.6
211.4   1650000.0   0.0 0.0 0.0 0.0 -7005384.5
211.5   1650000.0   0.0 0.0 0.0 0.0 -7104334.7
211.6   1650000.0   0.0 0.0 0.0 0.0 -6905476.2
211.7   1650000.0   0.0 0.0 0.0 0.0 -6889448.1
211.8   1650000.0   0.0 0.0 0.0 0.0 -6787915.0
211.9   1650000.0   0.0 0.0 0.0 0.0 -6795405.0
212.0   1650000.0   0.0 0.0 0.0 0.0 -6705173.6
212.1   1650000.0   0.0 0.0 0.0 0.0 -6524518.0
